symbol,date,open,high,low,close,volume,adjusted
NVDA,05-03-2018,5.862750053,5.931250095,5.737999916,5.891250134,620776000.00,5.832094193
NVDA,06-03-2018,5.977499962,6.073500156,5.934000015,6.053999901,636808000.00,5.993208885
NVDA,07-03-2018,5.949999809,6.098750114,5.948750019,6.046000004,581208000.00,5.985289574
NVDA,08-03-2018,6.073750019,6.073750019,5.984749794,6.029500008,411912000.00,5.96895647
NVDA,09-03-2018,6.077499866,6.146249771,6.06125021,6.133250237,505524000.00,6.071665287
NVDA,12-03-2018,6.175000191,6.324999809,6.166749954,6.243999958,605060000.00,6.181302071
NVDA,13-03-2018,6.287250042,6.362500191,6.151000023,6.192749977,619772000.00,6.130567074
NVDA,14-03-2018,6.236249924,6.263750076,6.155499935,6.218500137,505496000.00,6.156057358
NVDA,15-03-2018,6.232250214,6.315499783,6.190999985,6.233500004,401952000.00,6.170907497
NVDA,16-03-2018,6.25,6.28125,6.211999893,6.262000084,399456000.00,6.199121952
NVDA,19-03-2018,6.204500198,6.233749866,5.925000191,6.025000095,713772000.00,5.96449995
NVDA,20-03-2018,6.027999878,6.278749943,6.027999878,6.239500046,554696000.00,6.176847458
NVDA,21-03-2018,6.232999802,6.300000191,6.18324995,6.214000225,438688000.00,6.151602745
NVDA,22-03-2018,6.150000095,6.197000027,6.008500099,6.046249866,551196000.00,5.985538006
NVDA,23-03-2018,6.059999943,6.0625,5.813000202,5.824250221,735620000.00,5.765767097
NVDA,26-03-2018,5.949999809,6.113249779,5.897500038,6.111999989,611424000.00,6.050627232
NVDA,27-03-2018,6.193749905,6.25,5.496250153,5.638000011,1409000000.00,5.581388474
NVDA,28-03-2018,5.603250027,5.734749794,5.425000191,5.533750057,945904000.00,5.478185654
NVDA,29-03-2018,5.602749825,5.887499809,5.517499924,5.789750099,916628000.00,5.73161459
NVDA,02-04-2018,5.718500137,5.866250038,5.4375,5.526249886,922092000.00,5.470759392
NVDA,03-04-2018,5.695000172,5.758749962,5.533750057,5.633749962,667432000.00,5.577179909
NVDA,04-04-2018,5.375249863,5.666500092,5.349999905,5.656000137,789168000.00,5.599206924
NVDA,05-04-2018,5.715000153,5.728250027,5.462250233,5.534500122,701240000.00,5.478927135
NVDA,06-04-2018,5.430749893,5.539999962,5.326749802,5.356249809,662988000.00,5.302465916
NVDA,09-04-2018,5.420000076,5.549250126,5.364999771,5.385250092,499524000.00,5.331173897
NVDA,10-04-2018,5.618000031,5.724999905,5.560249805,5.697750092,761676000.00,5.640538216
NVDA,11-04-2018,5.682750225,5.724500179,5.623000145,5.656000137,460244000.00,5.599206924
NVDA,12-04-2018,5.75,5.882999897,5.705249786,5.864999771,593920000.00,5.806107521
NVDA,13-04-2018,5.929249763,5.937749863,5.738749981,5.787499905,503036000.00,5.729386806
NVDA,16-04-2018,5.794250011,5.821000099,5.691999912,5.787250042,350792000.00,5.729138851
NVDA,17-04-2018,5.840000153,5.960000038,5.783750057,5.938499928,447224000.00,5.878869057
NVDA,18-04-2018,5.887499809,5.981249809,5.819250107,5.909249783,391364000.00,5.849913597
NVDA,19-04-2018,5.793749809,5.827499866,5.670000076,5.725999832,471996000.00,5.668503761
NVDA,20-04-2018,5.71724987,5.802499771,5.68625021,5.717750072,386200000.00,5.660336971
NVDA,23-04-2018,5.735750198,5.787499905,5.570750237,5.597000122,427508000.00,5.540799141
NVDA,24-04-2018,5.623000145,5.71999979,5.464000225,5.53000021,414596000.00,5.474470615
NVDA,25-04-2018,5.5,5.539500237,5.257500172,5.416500092,588492000.00,5.362110615
NVDA,26-04-2018,5.579999924,5.638750076,5.513249874,5.63049984,375824000.00,5.573962688
NVDA,27-04-2018,5.737500191,5.757500172,5.615499973,5.658249855,400848000.00,5.601435184
NVDA,30-04-2018,5.674749851,5.724999905,5.603000164,5.622499943,327844000.00,5.5660429
NVDA,01-05-2018,5.614250183,5.681250095,5.554999828,5.678500175,253788000.00,5.621482849
NVDA,02-05-2018,5.675000191,5.71999979,5.631249905,5.65775013,268248000.00,5.600939274
NVDA,03-05-2018,5.690000057,5.851250172,5.644249916,5.824749947,443144000.00,5.766262054
NVDA,04-05-2018,5.795750141,5.979750156,5.778250217,5.976500034,400660000.00,5.916488171
NVDA,07-05-2018,6.082250118,6.274750233,6.072249889,6.217000008,687616000.00,6.154573917
NVDA,08-05-2018,6.21724987,6.262750149,6.167749882,6.260000229,506616000.00,6.197141171
NVDA,09-05-2018,6.280250072,6.396749973,6.25274992,6.394499779,596760000.00,6.330290318
NVDA,10-05-2018,6.447999954,6.512499809,6.429999828,6.503250122,994080000.00,6.437949181
NVDA,11-05-2018,6.319499969,6.494750023,6.263500214,6.363249779,1214456000.00,6.299354553
NVDA,14-05-2018,6.401750088,6.462250233,6.360000134,6.383999825,523140000.00,6.319896221
NVDA,15-05-2018,6.319749832,6.322500229,6.037499905,6.138999939,963528000.00,6.077356815
NVDA,16-05-2018,6.099999905,6.212999821,6.062749863,6.150249958,553828000.00,6.088494301
NVDA,17-05-2018,6.15199995,6.287499905,6.135749817,6.192749977,519784000.00,6.130567074
NVDA,18-05-2018,6.245250225,6.309249878,6.143499851,6.148499966,483716000.00,6.086760998
NVDA,21-05-2018,6.247000217,6.250750065,6.012249947,6.105999947,640624000.00,6.044688225
NVDA,22-05-2018,6.11950016,6.144999981,6.006249905,6.067500114,518264000.00,6.006575584
NVDA,23-05-2018,6.006999969,6.189750195,6.006249905,6.188499928,442956000.00,6.130148411
NVDA,24-05-2018,6.18475008,6.235000134,6.131000042,6.192249775,437372000.00,6.133862972
NVDA,25-05-2018,6.204999924,6.24849987,6.169000149,6.231999874,292112000.00,6.173237324
NVDA,29-05-2018,6.213749886,6.283500195,6.167500019,6.214749813,352684000.00,6.156149864
NVDA,30-05-2018,6.24875021,6.333499908,6.223750114,6.324749947,390996000.00,6.265113354
NVDA,31-05-2018,6.292500019,6.380000114,6.281750202,6.304749966,493868000.00,6.245300293
NVDA,01-06-2018,6.349999905,6.446750164,6.341249943,6.440499783,421968000.00,6.379772186
NVDA,04-06-2018,6.474999905,6.643499851,6.442500114,6.621250153,642024000.00,6.558817863
NVDA,05-06-2018,6.624499798,6.664750099,6.579249859,6.626749992,391712000.00,6.564265251
NVDA,06-06-2018,6.535749912,6.631999969,6.519249916,6.628749847,371356000.00,6.56624794
NVDA,07-06-2018,6.625,6.637000084,6.481249809,6.572500229,369448000.00,6.510527134
NVDA,08-06-2018,6.499000072,6.599999905,6.480000019,6.55700016,360456000.00,6.495173931
NVDA,11-06-2018,6.544250011,6.586249828,6.502500057,6.515500069,265372000.00,6.454063892
NVDA,12-06-2018,6.542250156,6.576749802,6.491499901,6.564499855,319160000.00,6.502602577
NVDA,13-06-2018,6.565999985,6.641749859,6.550749779,6.559999943,338208000.00,6.498146057
NVDA,14-06-2018,6.605500221,6.730000019,6.590499878,6.672749996,430016000.00,6.60983181
NVDA,15-06-2018,6.614999771,6.686999798,6.583749771,6.631499767,432260000.00,6.568971157
NVDA,18-06-2018,6.586999893,6.644999981,6.559500217,6.627250195,356268000.00,6.564761639
NVDA,19-06-2018,6.522999763,6.59100008,6.375500202,6.50425005,594932000.00,6.442920208
NVDA,20-06-2018,6.545750141,6.611249924,6.506999969,6.557750225,369780000.00,6.49591589
NVDA,21-06-2018,6.590000153,6.608500004,6.420000076,6.427750111,359516000.00,6.367143154
NVDA,22-06-2018,6.448750019,6.462250233,6.258250237,6.273749828,434160000.00,6.21459341
NVDA,25-06-2018,6.166250229,6.170000076,5.888500214,5.978000164,665816000.00,5.921633244
NVDA,26-06-2018,6.09250021,6.141250134,5.997749805,6.049749851,478884000.00,5.992706299
NVDA,27-06-2018,6.09375,6.160749912,5.887499809,5.893000126,453892000.00,5.837434769
NVDA,28-06-2018,5.882999897,6.033500195,5.875249863,6.021500111,338012000.00,5.964722157
NVDA,29-06-2018,6.087250233,6.099999905,5.921249866,5.922500134,392300000.00,5.866656303
NVDA,02-07-2018,5.852250099,6.05975008,5.831500053,6.056000233,357572000.00,5.998897552
NVDA,03-07-2018,6.09100008,6.097000122,5.912499905,5.921000004,222732000.00,5.865171432
NVDA,05-07-2018,5.976749897,6.073249817,5.9375,6.068250179,306216000.00,6.011032104
NVDA,06-07-2018,6.043499947,6.19175005,6.021999836,6.18324995,296352000.00,6.124947548
NVDA,09-07-2018,6.258250237,6.268000126,6.151750088,6.231249809,303880000.00,6.172495365
NVDA,10-07-2018,6.243750095,6.353499889,6.203000069,6.331250191,360016000.00,6.271552086
NVDA,11-07-2018,6.237500191,6.272500038,6.177499771,6.188250065,367508000.00,6.129900932
NVDA,12-07-2018,6.234000206,6.329249859,6.223999977,6.280749798,345508000.00,6.221527576
NVDA,13-07-2018,6.299499989,6.299499989,6.190499783,6.232999802,246988000.00,6.174229145
NVDA,16-07-2018,6.204999924,6.258500099,6.192500114,6.204999924,197036000.00,6.146492958
NVDA,17-07-2018,6.155250072,6.357500076,6.129499912,6.34224987,362136000.00,6.282448769
NVDA,18-07-2018,6.334750175,6.348750114,6.241000175,6.292500019,277640000.00,6.233168602
NVDA,19-07-2018,6.273499966,6.334750175,6.258250237,6.300749779,235752000.00,6.24134016
NVDA,20-07-2018,6.298250198,6.337500095,6.261250019,6.272250175,222352000.00,6.21310854
NVDA,23-07-2018,6.245500088,6.24725008,6.081999779,6.235249996,301584000.00,6.176456451
NVDA,24-07-2018,6.283750057,6.371250153,6.199999809,6.217750072,354620000.00,6.159122944
NVDA,25-07-2018,6.227250099,6.309500217,6.168749809,6.296750069,319112000.00,6.237377644
